"Title","Start","End","Time","Regions","IP_based","Based franchise","Offline","Notes"
"Final Fantasy XV - War For Eos","02/16/23","10/08/24",1.70,"CN | GL | JP | KR | TW","Y","Final Fantasy","N","-"
"THRUD - Broken Heaven","08/17/23","10/09/24",1.10,"CN","N",,"N","-"
"Guardian & Dragons","08/04/24","10/15/24",0.50,"JP","N",,"N","-"
"Millennium Tour ELF","09/05/24","10/26/24",0.50,"TW","N",,"N","-"
"Magic Chronicle","10/01/24","10/29/24",0.80,"GL","N",,"N","Global release of ""Knight of the Eden""."
"Bonobono - Nani Shiteru?","04/12/23","10/30/24",0.90,"JP","Y","Bonobono","N","-"
"Final Fantasy - Brave Exvius","06/30/16","10/30/24",8.50,"GL | KR | TW","Y","Final Fantasy","N","-"
"Sangokushi Taisen M","12/09/19","10/30/24",5.10,"JP","Y","Sangokushi Taisen","N","-"
"Yggdra Re:Birth","08/11/23","10/30/24",0.90,"TW","N",,"N","Re-release of ""Shining Maiden"" | ""Yggdra Resonance""."
"Kemono Friends - Festival","07/06/18","10/31/24",6.30,"JP","Y","Kemono Friends","N","-"
"Knights of Saint Laurent","08/24/23","10/31/24",1.10,"JP","N",,"N","Updated version released as ""Pandora Nova - Call to Adventure"" on 24/02/28."
"The King of Fighters All Star","10/22/19","10/31/24",5.00,"GL","Y","The King of Fighters","N","-"
"The King of Fighters All Star","07/26/18","10/31/24",6.30,"JP","Y","The King of Fighters","N","-"
"The King of Fighters All Star","09/05/19","10/31/24",4.50,"KR","Y","The King of Fighters","N","-"
"Tap Hunter - Ken to Mahō no Hōchi RPG","02/15/24","11/05/24",0.70,"JP","N",,"N","-"
"Artery Gear - Fusion","05/25/21","11/12/24",3.50,"CN","N",,"N","-"
"Artery Gear - Fusion","06/14/22","11/12/24",2.50,"GL","N",,"N","."
"Artery Gear - Kidōsen Hime","11/18/21","11/12/24",3.00,"JP","N",,"N","-"
"Artery Gear - Fusion","06/14/22","11/12/24",2.50,"KR","N",,"N","-"
"Artery Gear – Fusion","04/21/22","11/12/24",2.60,"TW","N",,"N","-"
"Shiro Chronicle Joker","05/08/14","11/18/24",10.20,"JP","N",,"N","-"
"Yume Shokunin to Wasureji no Kuroi Yōsei","02/18/22","11/19/24",2.70,"JP","Y","Yume 100","Y","-"
"Ascent Protocol","07/31/24","11/22/24",0.30,"JP","N",,"N","-"
"Call to Adventure - Magic Chest","03/28/24","11/25/24",0.60,"GL","N",,"N","Global release of ""Pandora Nova - Call to Adventure""."
"Animal Crossing - Pocket Camp","10/25/17","11/28/24",7.10,"GL","Y","Animal Crossing","N","Offline version released as ""Animal Crossing - Pocket Camp Complete""."
"Tagatame no Alchemist","01/28/16","11/28/24",8.90,"JP","N",,"N","-"
"The Samurai Kingdom","02/17/14","11/29/24",10.80,"JP","N",,"N","-"
"Argonavis - Kimi ga Mita Stage e","07/02/24","11/30/24",0.70,"JP","Y","BanG Dream! ","N","-"
"BrownDust","07/03/18","12/01/24",6.80,"GL | JP | TW","N",,"Y","Global version also known as ""Brave Nine"". Includes full CDN dump."
"BrownDust","04/24/17","12/01/24",7.70,"KR","N",,"Y","-"
"Toaru Majutsu no Kinsho Mokuroku - Gensō Shūsoku","04/07/19","12/02/24",5.50,"JP","Y","Toaru","Y","-"
"Naruto X Boruto - Ninja Voltage","11/22/17","12/09/24",7.10,"GL | KR | TW","Y","Naruto / Boruto","N","-"
"Naruto X Boruto - Ninja BorutageNaruto X Boruto - Ninja Borutage","11/15/17","12/09/24",7.10,"JP","Y","Naruto / Boruto","N","-"
"Hachigatsu no Cinderella Nine","06/27/17","12/17/24",7.50,"JP","N",,"Y","-"
"Seven Mortal Sins X-TASY","04/26/22","12/18/24",2.70,"GL","Y","7 Sins","N","-"
"Imperial Saga Eclipse","10/31/19","12/26/24",5.10,"JP","Y","Imperial SaGa","N","Browser game."
"Yggdra Re:Birth","12/10/23","12/26/24",1.20,"JP","N",,"N","Re-release of ""Shining Maiden"" | ""Yggdra Resonance""."
"Girls' Frontline","05/20/16","12/31/24",8.60,"CN","N",,"N","End of service due to publishing license expiration. Expected to be re-released in the future."
"Nyandarland - Fūin Sareshi Megami","05/20/24","12/31/24",0.60,"JP","Y","Megami Tensei","N","-"
